Zip Code,Population,Population Percentile
93212,23506,73.1
93215,37280,87.7
93216,4425,47.2
93218,823,24.7
93219,9318,57.1
93221,13333,62.8
93222,1526,32.9
93223,8644,56.2
93224,626,21.1
93225,4498,47.3
93226,296,11.8
93230,53204,95.4
93234,6918,53
93235,4517,47.4
93238,1873,35.9
93239,1809,35.2
93240,5564,49.7
93241,15364,65.6
93242,2900,41.8
93243,1247,30.3
93244,293,11.7
93245,30419,80.4
93247,15508,66
93249,2502,40
93250,10781,59.2
93251,302,12.3
93252,4357,47.1
93254,798,24
93255,655,21.9
93256,4198,46.3
93257,65566,98.4
93260,266,10.8
93261,2956,41.8
93262,56,1.4
93263,15177,65.1
93265,3546,44.3
93266,1729,34.6
93267,5689,49.6
93268,14937,64.8
93270,5868,50.2
93271,2318,39.2
93272,2951,41.8
93274,56101,96.3
93276,236,9.3
93277,44741,92.4
93280,22760,71.8
93282,63,1.5
93283,1935,36.7
93285,2515,40.1
93286,8870,55.8
93287,88,3.1
93291,36718,86.9
93292,30395,80.1
93301,12963,61.3
93304,44588,92.2
93305,35643,85.6
93306,53481,95.5
93307,59195,97.1
93308,44915,92.6
93309,58632,97
93311,20440,70.4
93312,40836,90.6
93313,25126,74.9
93401,27047,77.8
93402,14859,65.3
93405,31982,82.9
93420,24499,74.4
93422,29539,80.1
93424,812,24.8
93426,1363,32.2
93427,4644,48.2
93428,6526,52.3
93429,210,8.1
93430,3220,43.7
93432,1203,30.3
93433,13106,62.4
93434,5726,50.5
93435,28,0.6
93436,51737,95.2
93437,6165,51.1
93440,1328,31.8
93441,1317,31.8
93442,10909,59.6
93444,15405,65.6
93445,7435,53.5
93446,35586,85.7
93447,804,24.7
93449,8564,55.8
93450,670,22.8
93451,2666,41.6
93452,471,18
93453,2687,41.6
93454,30540,80.6
93455,37364,87.8
93458,43684,92.1
93460,5710,50.5
93461,1255,31.2
93463,7958,54.3
93465,7918,54.1
93501,4882,49.1
93505,8316,54.6
93510,7831,54
93512,340,14
93513,1826,36.2
93514,13309,62.3
93516,2241,39.8
93517,826,25.5
93518,1022,28.7
93522,64,1.5
93523,7685,53.6
93526,734,23.7
93527,2213,39.1
93528,207,8.1
93529,618,21.9
93530,71,1.7
93531,1436,32.3
93532,2771,41.7
93534,35109,85.1
93535,57794,96.6
93536,49309,94.3
93541,504,19
93543,11198,59.4
93544,1220,30.7
93545,1910,36.8
93546,8217,53.8
93549,318,13
93550,67232,98.6
93551,34045,84.6
93552,25370,75
93553,1613,34.5
93554,117,4.4
93555,29782,80.1
93560,14931,64.5
93561,25805,75.9
93562,1991,37.6
93563,413,16.9
93591,6787,52.3
93601,1968,37.5
93602,3464,44.2
93603,273,11.3
93604,613,21.4
93605,273,11.3
93606,807,24.5
93608,1766,35.4
93609,5446,49.1
93610,19391,68.8
93611,46858,93.3
93612,33856,84.3
93614,9395,56.1
93615,5519,49.6
93616,1965,37.4
93618,24206,73.4
93620,9388,56
93621,506,19.2
93622,9491,56.1
93623,77,2.4
93624,1852,36.4
93625,5635,49.6
93626,1125,29.4
93627,152,5.8
93628,93,3.7
93630,14062,63.1
93631,14088,63.2
93634,52,1.2
93635,29124,79.3
93637,28434,78.6
93638,49247,94.1
93640,9174,55.8
93641,571,20.1
93643,3376,44
93644,8521,54.6
93645,173,6.4
93646,8449,54.1
93647,9780,56.7
93648,12587,60.2
93650,3258,43.6
93651,1314,31.8
93652,265,10.5
93653,972,28.1
93654,25923,75.2
93656,5729,50
93657,28991,78.9
93660,4318,46.9
93662,26213,75.7
93664,642,22.1
93665,343,13.8
93666,306,12.6
93667,2633,40.7
93668,1130,29.4
93669,327,13.1
93673,646,22
93675,3146,42.4
93701,13858,62.2
93702,47999,93.9
93703,31180,80.8
93704,26580,76.3
93705,35451,84.8
93706,35790,85.1
93710,29337,79.2
93711,36274,85.6
93720,45087,92.5
93721,6848,52.3
93722,60889,97.6
93725,21010,70.2
93726,39148,88.8
93727,54701,95.7
93728,16346,66.2
93901,35739,85.6
93905,58548,96.6
93906,53946,95.6
93907,22292,72.1
93908,13027,61.6
93920,1006,28.9
93921,2966,42.8
93923,13121,61.8
93924,6691,52.6
93925,1140,30
93926,9023,55.9
93927,14204,63.6
93928,254,10
93930,14477,63.9
93932,538,20.2
93933,21759,71.3
93940,32857,83.7
93950,15449,64.9
93953,4602,48.7
93954,521,19.8
93955,38244,87.9
93960,13003,61.6
93962,407,17
94002,25566,75.6
94005,3635,45.3
94010,40346,89.7
94014,47453,93.7
94015,63337,97.9
94019,17929,68
94020,1622,35.5
94021,148,5.8
94022,18486,68.7
94024,21496,71.3
94025,39062,88.9
94027,6876,53.4
94028,6601,53.1
94030,20350,70.3
94037,2346,41.1
94038,3064,43.8
94040,32143,82.9
94041,13483,63.3
94043,27822,78.5
94044,38885,88.7
94060,2055,39.2
94061,35737,85.8
94062,25569,76
94063,32368,83.3
94065,10658,59.7
94066,39566,89.1
94070,28098,79
94074,291,12.5
94080,60599,97.5
94086,64010,98.1
94087,50070,95
94089,16985,68.4
94102,28998,80.3
94103,23036,73
94104,384,15.9
94105,2066,39.9
94107,17372,68.7
94108,13723,64.5
94109,56330,96.6
94110,74641,99.2
94111,3337,45.8
94112,73117,99.2
94114,30587,81.4
94115,33122,85
94116,42959,92.6
94117,38756,89.2
94118,38955,89.5
94121,42476,92
94122,55504,96.6
94123,22920,73.8
94124,33177,85.6
94127,20643,72.2
94129,2240,41.9
94130,1458,35.3
94131,27906,80.3
94132,26297,78.5
94133,26831,79
94134,40137,90.1
94301,16198,69
94303,45499,93.7
94304,1723,38.1
94305,13386,65.4
94306,24492,76.2
94401,32488,84.7
94402,23393,75.1
94403,37926,89.2
94404,31882,84.2
94501,58555,97
94502,13996,66.9
94506,19777,72.8
94507,15187,68
94508,3641,48
94509,90891,99.8
94510,25578,78.4
94511,2379,43.9
94512,138,6
94513,26577,79.4
94514,10153,61.9
94515,7384,57.2
94517,14239,67.4
94518,27394,80.1
94519,18650,72.1
94520,36186,87.4
94521,39888,90.2
94523,32685,85.2
94525,3193,47.3
94526,32873,85.6
94530,23141,75.5
94533,77683,99.5
94535,9978,62.3
94536,66543,98.8
94538,56126,97.2
94539,46917,94.7
94541,60274,98.1
94542,11147,63.9
94544,72993,99.4
94545,27311,81.1
94546,41698,92.3
94547,22479,76.1
94549,23996,77.4
94550,75929,99.5
94552,13212,67.5
94553,46677,95
94555,33883,87
94556,16510,71.9
94558,63947,98.9
94559,26894,81.1
94560,42491,93.4
94561,27607,81.8
94563,17964,73.4
94564,16717,72.8
94565,78816,99.7
94566,36669,89.6
94567,494,21.9
94568,29636,83.4
94569,173,7.8
94571,5246,56.1
94572,8506,61.5
94574,9423,63
94576,223,10.1
94577,41871,93.1
94578,36568,89.5
94579,19815,75.4
94580,26240,81.4
94583,44078,94.3
94585,39279,91.7
94586,790,28.7
94587,66472,99.2
94588,28568,83.5
94589,42209,93.6
94590,37218,91
94591,51665,96.6
94592,159,7.1
94595,18024,74.9
94596,40917,93.1
94598,26022,82
94599,2873,49
94601,54876,97.7
94602,28900,84.3
94603,31392,86.8
94605,42854,94.3
94606,41876,94
94607,21054,77.6
94608,24589,80.8
94609,21097,77.8
94610,29964,84.9
94611,36517,90.6
94612,11702,69
94618,15438,73.4
94619,24518,80.9
94621,30751,86.2
94702,15638,74
94703,19763,77.7
94704,21205,78.3
94705,12448,70.4
94706,15882,74.6
94707,11889,70
94708,10737,68.6
94709,10147,67.7
94710,8157,63.9
94801,28450,84.6
94803,25399,82.3
94804,39089,92.3
94805,13984,73
94806,55720,97.9
94901,40239,92.6
94903,28403,84.9
94904,12010,70.8
94920,13065,72
94922,584,25.2
94923,1785,44.2
94924,1573,42.2
94925,9038,66.7
94928,42544,94
94929,330,16.5
94930,8486,65.5
94931,7936,64.8
94933,1025,35.8
94937,1004,35.5
94938,821,31.3
94939,6773,63.1
94940,406,20.6
94941,28727,84.8
94945,16429,75.6
94946,607,26.5
94947,24741,81.8
94949,13361,72.3
94950,248,12.4
94951,3777,55.2
94952,31930,87.5
94954,35419,89.8
94956,1885,45.6
94960,16849,76.2
94963,548,24.9
94964,6448,63.4
94965,11213,70.3
94970,781,30.7
94971,384,19.3
94972,66,2.1
94973,1449,40.7
95002,2147,47.3
95003,24227,81.1
95004,3373,53.6
95005,6407,63
95006,10520,69.3
95007,1007,35.8
95008,44976,94.7
95010,9673,67.8
95012,8582,66.3
95014,54431,97.5
95017,857,33
95018,8728,66.7
95019,4753,59.4
95020,49968,96.7
95023,47514,95.8
95030,13290,72.2
95032,24443,81.5
95033,10172,69.5
95035,62848,98.9
95037,41707,94.4
95039,899,34.3
95041,77,3.3
95043,813,31.9
95045,3402,54.7
95046,5671,62
95050,36349,90.9
95051,52986,97.6
95054,13031,72.5
95060,43192,94.8
95062,36631,91.6
95064,4563,59.7
95065,8365,66.6
95066,14574,74.2
95070,30589,86.5
95073,9823,69.6
95076,81141,99.8
95110,18197,77.8
95111,57748,98.1
95112,52334,97.8
95113,561,26.4
95116,51706,97.6
95117,29914,86.5
95118,31926,89
95119,10155,70.8
95120,37090,92.8
95121,37127,93
95122,59841,98.8
95123,59632,98.8
95124,45257,96.5
95125,46185,96.8
95126,27023,86.6
95127,60620,99
95128,32804,90.9
95129,37570,94
95130,13481,75.6
95131,26389,86.7
95132,40568,95.3
95133,26032,86.7
95134,9657,71.8
95135,15798,78.3
95136,36944,93.9
95138,14792,77.3
95139,7023,68.8
95140,38,1.7
95148,44103,96.5
95202,7071,69
95203,16357,79.2
95204,30476,88.7
95205,34138,92.1
95206,49657,97.7
95207,49965,98
95209,30814,90.1
95210,40611,95.9
95212,6951,69.8
95215,23789,85.4
95219,19109,82.1
95220,6317,69.7
95221,676,31.9
95222,4264,63.7
95223,5159,66.9
95224,115,6.2
95225,27,0.9
95226,75,2.9
95227,722,32.4
95228,2633,56.2
95230,596,29.4
95231,5094,66.3
95232,21,0.5
95233,335,19
95236,3148,58.3
95237,3205,58.8
95240,45755,97.2
95242,22073,83.9
95245,2718,57.2
95246,1692,48.8
95247,4353,63.5
95249,3930,61.6
95250,88,4
95251,460,25.7
95252,11266,74.7
95254,304,18.1
95255,2198,53.4
95257,435,24.5
95258,4176,62.7
95301,27808,88.5
95303,809,34.3
95305,167,8.4
95306,986,39
95307,32881,92.1
95310,2144,53.1
95311,2271,54
95312,55,1.6
95313,1508,46.1
95315,10159,73.4
95316,5513,66.2
95317,808,34.4
95318,579,28.6
95320,11474,74.8
95321,3680,60.2
95322,7872,69.9
95323,1055,39.9
95324,7177,69.1
95325,128,6.6
95326,6822,69
95327,9559,72.1
95328,2130,53.4
95329,1749,49.6
95330,10834,73.2
95333,3256,59.3
95334,12672,75.3
95335,683,32.7
95336,36738,94.1
95337,19867,81.9
95338,10226,73.5
95340,59289,98.9
95345,433,25.2
95346,1278,44.1
95348,23100,83.7
95350,52872,98.4
95351,47536,97.7
95354,27135,88.4
95355,47613,98
95356,26055,88.1
95357,13343,77
95358,30668,90.1
95360,8504,72.4
95361,25384,87.8
95363,15536,79.7
95364,235,13.7
95365,4150,64.4
95366,12646,77
95367,16525,80.6
95368,12466,77.2
95369,1158,43.1
95370,25340,87.4
95372,1519,48.6
95374,1960,54.4
95376,69801,99.5
95379,3979,64.2
95380,40545,96.5
95382,24708,87
95383,4848,68.3
95385,274,17.4
95386,8308,72.8
95387,899,39.8
95388,11463,76.9
95389,1750,52.4
95401,36125,94.8
95403,40270,96.4
95404,35057,94.5
95405,22250,85.7
95407,30876,91.1
95409,25718,89
95410,1054,43.3
95412,747,36.6
95415,1374,48.5
95417,176,10.1
95419,436,27.2
95420,333,21
95421,1575,50.4
95422,13485,78.8
95423,3684,64.1
95424,103,5.8
95425,9210,75.4
95426,1591,51.3
95427,371,22.6
95428,2296,57.2
95429,91,5.4
95430,187,11.1
95431,363,21.8
95432,383,22.6
95436,6216,72
95437,14417,79.1
95439,476,27.6
95441,2349,57.9
95442,4101,65.4
95443,175,9.8
95444,390,23.6
95445,1916,54.4
95446,4913,68.6
95448,17979,82
95449,1373,48.4
95450,438,26.7
95451,9902,76
95452,1653,51.6
95453,11180,76.4
95454,2706,60.2
95456,882,40.3
95457,2644,59.7
95458,3002,61.2
95459,586,31.2
95460,2229,57.3
95461,7789,72.8
95462,1537,51
95463,148,8.7
95464,2223,57.1
95465,1880,54.4
95466,1113,44.1
95468,1352,49
95469,1884,54.3
95470,5995,70
95471,298,19.7
95472,31266,90.5
95476,34314,93.2
95480,30,1.3
95481,109,6.2
95482,30988,90.6
95485,2344,57.1
95488,309,20.6
95490,13472,77.3
95492,23701,85.8
95493,240,14.7
95494,335,21.4
95497,752,37.4
95501,23224,85.1
95502,183,10.6
95503,23570,85.6
95511,261,15.2
95514,199,11.3
95519,15921,80.1
95521,19596,83.1
95524,1689,52.8
95525,1584,51.8
95526,695,35.6
95527,485,28.5
95528,1072,43.9
95531,23792,85.5
95536,2965,60.4
95537,228,13.7
95540,12241,77.1
95542,2423,58
95543,532,30.5
95545,82,4.1
95546,3041,60.3
95547,1201,45.9
95548,1215,46.1
95549,264,16.1
95550,155,8.9
95551,1447,49.2
95552,265,16.2
95553,867,40.4
95554,644,33.6
95555,494,28.8
95556,574,30.4
95558,300,19.2
95559,163,9.5
95560,1851,52.6
95562,3284,59.8
95563,660,34
95564,395,23.9
95565,1125,42.9
95567,2020,53.7
95568,202,11.9
95569,400,24.2
95570,2369,55.5
95571,270,17.4
95573,1666,50.4
95585,321,19.7
95587,200,11.8
95589,743,34.6
95595,259,14.7
95601,222,12.9
95602,18197,80.2
95603,24944,85
95605,12756,75.8
95606,382,21.5
95607,262,14.7
95608,58830,98.6
95610,43718,97
95612,1417,47.3
95613,49,1.9
95614,3674,59.6
95615,699,33.4
95616,67411,99.3
95618,648,32.3
95619,4426,63.1
95620,18529,81
95621,41636,96.9
95623,4097,62.1
95624,38534,95.5
95625,171,10.6
95626,6197,69.6
95627,2756,58.1
95628,40750,96.5
95629,850,37.9
95630,51855,98.6
95631,5714,68.4
95632,24194,85.9
95633,2536,57.2
95634,2723,58.5
95635,1140,43.7
95636,659,34.2
95637,228,13.9
95638,1745,51.4
95639,213,12.6
95640,9752,74.2
95641,2010,54.1
95642,6202,69.7
95645,1793,52
95646,129,9.1
95648,15286,78.2
95650,11191,75.5
95651,485,28.6
95653,844,38
95655,929,40.8
95658,6096,69.1
95659,751,35.8
95660,32202,91.6
95661,25173,85.9
95662,32040,91.6
95663,2048,54.7
95664,1173,45
95665,4354,64
95666,5501,68.2
95667,34146,92.9
95668,901,41.4
95669,2220,56
95670,49729,98.4
95672,3815,62.8
95673,14010,77.7
95674,947,43.4
95675,364,23.2
95676,383,23.6
95677,21510,84.6
95678,30614,90.2
95681,1219,46.3
95682,24738,86.5
95683,4731,66.8
95684,2958,59.6
95685,4610,66.5
95686,1472,51.4
95687,63157,99.1
95688,32564,92.4
95689,1273,49.1
95690,2344,57.8
95691,19050,83
95692,3600,62.5
95693,5889,69.6
95694,8406,72.9
95695,38547,96.5
95701,751,40.2
95703,1526,53.9
95709,4829,68.5
95713,8525,73.2
95714,350,25.1
95715,185,14.6
95717,407,28
95720,183,14.2
